study ID,flare times,GOES class,hpc x,hpc y,EIS xcen,EIS ycen,EIS fovx,EIS fovy,target,stud_acr,filename,EIS xmin,EIS xmax,EIS ymin,EIS ymax
414,2017-01-16 00:56:43,B1.3,-640.4250925218221,214.4088346099233,-650.6309814453125,259.5270080566406,302.5150146484375,384.0,Active Region,GDZ_300x360_S2S3_30S,eis_20170116_005643.data.h5,-801.8884887695312,-499.37347412109375,67.52700805664062,451.5270080566406
414,2017-01-16 00:56:43,C4.1,-695.410159552237,390.36557508413904,-650.6309814453125,259.5270080566406,302.5150146484375,384.0,Active Region,GDZ_300x360_S2S3_30S,eis_20170116_005643.data.h5,-801.8884887695312,-499.37347412109375,67.52700805664062,451.5270080566406
520,2017-01-26 03:32:10,B3.4,356.12150965306495,304.102387073335,330.1520080566406,286.4939880371094,119.80799865722656,512.0,Active Region,HPW021VEL120x512v1_b,eis_20170126_033210.data.h5,270.24800872802734,390.0560073852539,30.493988037109375,542.4939880371094
521,2017-02-22 01:30:29,B6.8,-763.8563792200293,376.1265264542468,-734.2039794921875,347.7409973144531,119.80799865722656,512.0,Active Region,HPW021VEL120x512v2_b,eis_20170222_013029.data.h5,-794.1079788208008,-674.2999801635742,91.74099731445312,603.7409973144531
521,2017-02-23 00:29:53,B4.4,-624.5457305463497,412.398403041336,-588.2059936523438,365.9710083007813,119.80799865722656,512.0,Active Region,HPW021VEL120x512v2_b,eis_20170223_002953.data.h5,-648.109992980957,-528.3019943237305,109.9710083007813,621.9710083007812
513,2017-02-23 20:38:24,C1.3,-402.4830529487226,421.4695056000735,-437.6730041503906,378.25299072265625,491.2130126953125,512.0,Active Region,DHB_006_v2,eis_20170223_203824.data.h5,-683.2795104980469,-192.06649780273438,122.25299072265625,634.2529907226562
373,2017-03-06 07:30:33,B1.9,653.400353021453,335.5698902281924,559.4509887695312,342.8599853515625,257.5870056152344,256.0,Active Region,VHH_SlowAR_2h20_DPCM,eis_20170306_073033.data.h5,430.65748596191406,688.2444915771484,214.8599853515625,470.8599853515625
373,2017-03-07 08:00:33,B1.9,732.0097719780186,345.82623360464754,720.9760131835938,323.1619873046875,257.5870056152344,256.0,Active Region,VHH_SlowAR_2h20_DPCM,eis_20170307_080033.data.h5,592.1825103759766,849.7695159912109,195.1619873046875,451.1619873046875
373,2017-03-08 07:33:20,B1.8,878.7144233684995,286.9029945538708,868.5599975585938,330.1109924316406,257.5870056152344,256.0,Active Region,VHH_SlowAR_2h20_DPCM,eis_20170308_073320.data.h5,739.7664947509766,997.3535003662109,202.11099243164062,458.1109924316406
518,2017-03-31 22:57:40,C1.1,-48.99411689816043,-67.86886814312089,-75.80609893798828,-67.34320068359375,59.90399932861328,152.0,Flare,HH_Flare_raster_v6,eis_20170331_225740.data.h5,-105.75809860229492,-45.85409927368164,-143.34320068359375,8.65679931640625
