EIS flare times,EIS filename,Start Time,Peak Time,End Time,Class,hpc x,hpc y,study_durations
2012-12-12 18:12:41,eis_l0_20121212_181241.fits.gz,2012-12-12 18:35:00.000,2012-12-12 18:47:00.000,2012-12-12 18:55:00.000,B7.9,0.0,11.20716,1500.0
2012-12-12 18:09:20,eis_l0_20121212_180920.fits.gz,2012-12-12 18:35:00.000,2012-12-12 18:47:00.000,2012-12-12 18:55:00.000,B7.9,0.0,11.20716,3840.0
2012-01-04 09:40:35,eis_l0_20120104_094035.fits.gz,2012-01-04 10:59:00.000,2012-01-04 11:06:00.000,2012-01-04 11:14:00.000,C1.3,0.0,57.19428,13583.69
2012-01-06 13:40:22,eis_l0_20120106_134022.fits.gz,2012-01-06 17:03:00.000,2012-01-06 17:06:00.000,2012-01-06 17:09:00.000,B6.8,0.0,61.539,13583.69
2012-01-08 04:32:38,eis_l0_20120108_043238.fits.gz,2012-01-08 04:33:00.000,2012-01-08 04:38:00.000,2012-01-08 04:49:00.000,C1.2,0.0,64.3374,270.0
2012-01-10 04:09:22,eis_l0_20120110_040922.fits.gz,2012-01-10 04:14:00.000,2012-01-10 04:18:00.000,2012-01-10 04:24:00.000,B7.1,0.0,68.0232,2506.494
2012-01-10 23:33:21,eis_l0_20120110_233321.fits.gz,2012-01-11 00:01:00.000,2012-01-11 00:11:00.000,2012-01-11 00:23:00.000,C2.2,0.0,69.5268,7795.793
2012-01-11 03:33:21,eis_l0_20120111_033321.fits.gz,2012-01-11 04:31:00.000,2012-01-11 04:46:00.000,2012-01-11 05:09:00.000,C3.7,882.948,306.4536,7795.793
2012-01-11 11:33:20,eis_l0_20120111_113320.fits.gz,2012-01-11 13:06:00.000,2012-01-11 13:11:00.000,2012-01-11 13:29:00.000,B7.6,0.0,70.5132,7795.793
2012-01-14 01:03:34,eis_l0_20120114_010334.fits.gz,2012-01-14 03:19:00.000,2012-01-14 03:35:00.000,2012-01-14 04:03:00.000,C2.1,-378.675,366.8208,13583.69
2012-01-14 13:19:13,eis_l0_20120114_131913.fits.gz,2012-01-14 13:14:00.000,2012-01-14 13:18:00.000,2012-01-14 13:20:00.000,M1.4,0.0,75.825,600.0
2012-01-15 10:03:56,eis_l0_20120115_100356.fits.gz,2012-01-15 10:57:00.000,2012-01-15 11:01:00.000,2012-01-15 11:03:00.000,C1.0,0.0,77.3814,12347.513
2012-01-16 04:28:40,eis_l0_20120116_042840.fits.gz,2012-01-16 02:36:00.000,2012-01-16 04:44:00.000,2012-01-16 06:46:00.000,C6.5,0.0,78.4902,270.0
2012-01-18 10:20:13,eis_l0_20120118_102013.fits.gz,2012-01-18 10:16:00.000,2012-01-18 10:30:00.000,2012-01-18 10:45:00.000,C2.4,0.0,82.3446,600.0
2012-01-18 23:25:13,eis_l0_20120118_232513.fits.gz,2012-01-18 22:57:00.000,2012-01-18 23:20:00.000,2012-01-18 23:33:00.000,C5.1,0.0,83.2032,600.0
2012-01-19 03:56:39,eis_l0_20120119_035639.fits.gz,2012-01-19 03:52:00.000,2012-01-19 03:55:00.000,2012-01-19 03:57:00.000,C1.2,0.0,83.5338,270.0
2012-01-19 11:00:27,eis_l0_20120119_110027.fits.gz,2012-01-19 12:41:00.000,2012-01-19 12:50:00.000,2012-01-19 13:00:00.000,C3.2,731.04,439.8432,17428.782
2012-01-20 15:03:34,eis_l0_20120120_150334.fits.gz,2012-01-20 14:58:00.000,2012-01-20 15:01:00.000,2012-01-20 15:04:00.000,B9.1,0.0,85.8618,270.0
2012-01-20 21:51:42,eis_l0_20120120_215142.fits.gz,2012-01-20 21:48:00.000,2012-01-20 23:33:00.000,2012-01-21 00:36:00.000,C1.4,0.0,86.3082,270.0
2012-01-20 23:02:13,eis_l0_20120120_230213.fits.gz,2012-01-20 21:48:00.000,2012-01-20 23:33:00.000,2012-01-21 00:36:00.000,C1.4,0.0,86.3082,600.0
2012-01-21 13:40:49,eis_l0_20120121_134049.fits.gz,2012-01-21 13:35:00.000,2012-01-21 13:42:00.000,2012-01-21 13:47:00.000,C2.4,0.0,87.33,3595.497
2012-01-22 10:34:28,eis_l0_20120122_103428.fits.gz,2012-01-22 12:38:00.000,2012-01-22 12:55:00.000,2012-01-22 13:47:00.000,C3.7,306.2124,349.2516,17428.782
2012-01-24 17:00:31,eis_l0_20120124_170031.fits.gz,2012-01-24 16:57:00.000,2012-01-24 17:08:00.000,2012-01-24 17:10:00.000,C1.3,0.0,92.0388,270.0
2012-01-26 04:27:38,eis_l0_20120126_042738.fits.gz,2012-01-26 03:58:00.000,2012-01-26 05:42:00.000,2012-01-26 07:03:00.000,C6.4,0.0,94.1268,270.0
2012-01-26 05:52:12,eis_l0_20120126_055212.fits.gz,2012-01-26 03:58:00.000,2012-01-26 05:42:00.000,2012-01-26 07:03:00.000,C6.4,0.0,94.1268,600.0
2012-01-26 10:08:42,eis_l0_20120126_100842.fits.gz,2012-01-26 10:01:00.000,2012-01-26 10:11:00.000,2012-01-26 10:21:00.000,C2.7,0.0,94.4814,600.0
2012-01-27 06:15:41,eis_l0_20120127_061541.fits.gz,2012-01-27 06:24:00.000,2012-01-27 06:42:00.000,2012-01-27 06:53:00.000,C5.5,803.16,522.1452,600.0
2012-01-27 18:16:11,eis_l0_20120127_181611.fits.gz,2012-01-27 17:37:00.000,2012-01-27 18:37:00.000,2012-01-27 18:56:00.000,X1.7,821.376,468.3162,600.0
2012-01-30 02:34:55,eis_l0_20120130_023455.fits.gz,2012-01-30 03:15:00.000,2012-01-30 03:23:00.000,2012-01-30 03:30:00.000,B5.1,0.0,99.474,7795.793
2012-01-31 10:18:27,eis_l0_20120131_101827.fits.gz,2012-01-31 14:04:00.000,2012-01-31 14:15:00.000,2012-01-31 14:28:00.000,B9.9,0.0,101.3022,17428.782
2012-02-01 09:34:11,eis_l0_20120201_093411.fits.gz,2012-02-01 08:50:00.000,2012-02-01 09:16:00.000,2012-02-01 09:37:00.000,B6.4,0.0,102.2586,344.474
2012-02-01 04:42:38,eis_l0_20120201_044238.fits.gz,2012-02-01 04:13:00.000,2012-02-01 04:41:00.000,2012-02-01 04:55:00.000,C1.0,0.0,102.0252,344.474
2012-02-02 17:56:20,eis_l0_20120202_175620.fits.gz,2012-02-02 18:06:00.000,2012-02-02 18:15:00.000,2012-02-02 18:21:00.000,B8.9,0.0,103.9038,639.825
2012-02-06 13:47:23,eis_l0_20120206_134723.fits.gz,2012-02-06 14:42:00.000,2012-02-06 14:47:00.000,2012-02-06 14:52:00.000,B7.9,768.156,386.529,17428.782
2012-02-07 16:14:34,eis_l0_20120207_161434.fits.gz,2012-02-07 16:11:00.000,2012-02-07 17:34:00.000,2012-02-07 17:42:00.000,C6.8,0.0,109.2114,270.0
2012-02-07 20:21:31,eis_l0_20120207_202131.fits.gz,2012-02-07 20:18:00.000,2012-02-07 22:19:00.000,2012-02-07 23:21:00.000,C7.3,0.0,109.3812,270.0
2012-02-07 21:59:02,eis_l0_20120207_215902.fits.gz,2012-02-07 20:18:00.000,2012-02-07 22:19:00.000,2012-02-07 23:21:00.000,C7.3,0.0,109.3812,270.0
2012-02-09 02:13:41,eis_l0_20120209_021341.fits.gz,2012-02-09 04:59:00.000,2012-02-09 05:09:00.000,2012-02-09 05:14:00.000,B9.3,0.0,110.6922,13583.69
2012-02-10 04:34:25,eis_l0_20120210_043425.fits.gz,2012-02-10 04:34:00.000,2012-02-10 04:35:00.000,2012-02-10 04:37:00.000,B8.8,0.0,111.5964,270.0
2012-02-10 15:23:58,eis_l0_20120210_152358.fits.gz,2012-02-10 15:20:00.000,2012-02-10 15:36:00.000,2012-02-10 16:00:00.000,C1.1,0.0,111.9984,270.0
2012-02-12 08:51:19,eis_l0_20120212_085119.fits.gz,2012-02-12 11:03:00.000,2012-02-12 11:06:00.000,2012-02-12 11:08:00.000,B5.2,0.0,113.5536,11693.69
2012-02-20 05:01:24,eis_l0_20120220_050124.fits.gz,2012-02-20 04:41:00.000,2012-02-20 05:09:00.000,2012-02-20 05:35:00.000,C4.1,-680.358,359.6322,308.0
2012-02-24 00:52:21,eis_l0_20120224_005221.fits.gz,2012-02-24 00:45:00.000,2012-02-24 00:49:00.000,2012-02-24 00:55:00.000,B4.5,0.0,120.57,270.0
2012-02-24 09:45:28,eis_l0_20120224_094528.fits.gz,2012-02-24 13:21:00.000,2012-02-24 13:24:00.000,2012-02-24 13:30:00.000,B4.7,0.0,120.7692,17428.782
2012-02-25 10:28:27,eis_l0_20120225_102827.fits.gz,2012-02-25 14:20:00.000,2012-02-25 15:00:00.000,2012-02-25 15:15:00.000,B5.9,0.0,121.1334,17428.782
2012-02-26 09:17:27,eis_l0_20120226_091727.fits.gz,2012-02-26 09:09:00.000,2012-02-26 09:55:00.000,2012-02-26 10:33:00.000,B5.2,0.0,121.3806,11693.69
2012-03-01 11:13:33,eis_l0_20120301_111333.fits.gz,2012-03-01 08:52:00.000,2012-03-01 10:10:00.000,2012-03-01 11:16:00.000,B5.5,0.0,122.2764,324.825
2012-03-06 12:37:10,eis_l0_20120306_123710.fits.gz,2012-03-06 12:23:00.000,2012-03-06 12:41:00.000,2012-03-06 12:54:00.000,M2.1,-542.1306,391.4526,3595.497
2012-03-06 20:36:03,eis_l0_20120306_203603.fits.gz,2012-03-06 21:04:00.000,2012-03-06 21:11:00.000,2012-03-06 21:14:00.000,M1.3,0.0,122.52,3595.497
2012-03-09 03:09:33,eis_l0_20120309_030933.fits.gz,2012-03-09 03:22:00.000,2012-03-09 03:53:00.000,2012-03-09 04:18:00.000,M6.3,0.0,122.2878,2007.897
2012-03-08 09:38:34,eis_l0_20120308_093834.fits.gz,2012-03-08 10:19:00.000,2012-03-08 10:23:00.000,2012-03-08 10:26:00.000,C1.7,0.0,122.3814,12347.513
2012-03-17 15:00:27,eis_l0_20120317_150027.fits.gz,2012-03-17 18:04:00.000,2012-03-17 18:14:00.000,2012-03-17 18:25:00.000,B6.0,0.0,119.6652,12347.513
2012-03-17 19:09:44,eis_l0_20120317_190944.fits.gz,2012-03-17 20:32:00.000,2012-03-17 20:39:00.000,2012-03-17 20:42:00.000,M1.3,384.234,-226.5546,12347.513
2012-03-19 09:36:19,eis_l0_20120319_093619.fits.gz,2012-03-19 08:32:00.000,2012-03-19 11:02:00.000,2012-03-19 11:07:00.000,B3.9,0.0,118.8804,12347.513
2012-03-21 10:09:15,eis_l0_20120321_100915.fits.gz,2012-03-21 09:55:00.000,2012-03-21 10:07:00.000,2012-03-21 10:12:00.000,B9.4,0.0,117.7398,344.474
2012-03-21 10:47:56,eis_l0_20120321_104756.fits.gz,2012-03-21 12:38:00.000,2012-03-21 12:52:00.000,2012-03-21 13:01:00.000,C2.9,294.5352,-337.0488,11693.69
2012-03-21 15:43:54,eis_l0_20120321_154354.fits.gz,2012-03-21 15:42:00.000,2012-03-21 15:50:00.000,2012-03-21 15:56:00.000,C1.1,0.0,117.597,344.474
2012-03-22 16:37:27,eis_l0_20120322_163727.fits.gz,2012-03-22 17:39:00.000,2012-03-22 17:50:00.000,2012-03-22 17:56:00.000,C1.1,0.0,116.9298,3750.0
2012-03-23 22:35:33,eis_l0_20120323_223533.fits.gz,2012-03-23 23:26:00.000,2012-03-23 23:29:00.000,2012-03-23 23:31:00.000,B3.8,0.0,116.1144,7972.821
2012-03-24 19:54:13,eis_l0_20120324_195413.fits.gz,2012-03-24 22:51:00.000,2012-03-24 22:55:00.000,2012-03-24 22:58:00.000,B3.6,-822.174,-334.0104,11693.69
2012-03-25 10:08:56,eis_l0_20120325_100856.fits.gz,2012-03-25 11:19:00.000,2012-03-25 11:57:00.000,2012-03-25 12:21:00.000,B9.0,0.0,115.0626,17428.782
2012-03-26 09:11:39,eis_l0_20120326_091139.fits.gz,2012-03-26 11:17:00.000,2012-03-26 11:37:00.000,2012-03-26 11:41:00.000,B4.0,0.0,114.3186,11693.69
2012-03-27 00:09:25,eis_l0_20120327_000925.fits.gz,2012-03-27 02:50:00.000,2012-03-27 03:08:00.000,2012-03-27 03:22:00.000,C5.3,79.5252,419.1492,11693.69
2012-03-28 10:20:56,eis_l0_20120328_102056.fits.gz,2012-03-28 11:31:00.000,2012-03-28 11:34:00.000,2012-03-28 11:36:00.000,B4.7,0.0,112.7208,11693.69
2012-03-29 15:01:30,eis_l0_20120329_150130.fits.gz,2012-03-29 16:35:00.000,2012-03-29 16:40:00.000,2012-03-29 16:42:00.000,C1.4,0.0,111.6942,7795.793
2012-04-03 21:31:08,eis_l0_20120403_213108.fits.gz,2012-04-03 21:15:00.000,2012-04-03 21:23:00.000,2012-04-03 21:38:00.000,B4.3,0.0,106.7628,308.0
2012-04-03 11:14:20,eis_l0_20120403_111420.fits.gz,2012-04-03 12:25:00.000,2012-04-03 12:28:00.000,2012-04-03 12:35:00.000,B4.2,-48.4536,366.642,17428.782
2012-04-04 05:25:00,eis_l0_20120404_052500.fits.gz,2012-04-04 05:30:00.000,2012-04-04 05:57:00.000,2012-04-04 06:31:00.000,B7.0,0.0,106.407,308.0
2012-04-07 19:44:26,eis_l0_20120407_194426.fits.gz,2012-04-07 19:08:00.000,2012-04-07 19:55:00.000,2012-04-07 20:16:00.000,B6.8,0.0,102.504,308.0
2012-04-08 15:28:41,eis_l0_20120408_152841.fits.gz,2012-04-08 14:53:00.000,2012-04-08 15:47:00.000,2012-04-08 16:07:00.000,B7.2,568.3392,444.7116,270.0
2012-04-08 18:45:19,eis_l0_20120408_184519.fits.gz,2012-04-08 18:46:00.000,2012-04-08 18:53:00.000,2012-04-08 19:00:00.000,B6.8,599.985,412.4922,270.0
2012-04-08 20:22:03,eis_l0_20120408_202203.fits.gz,2012-04-08 20:16:00.000,2012-04-08 20:23:00.000,2012-04-08 20:29:00.000,B3.7,0.0,101.2878,270.0
2012-04-08 23:35:02,eis_l0_20120408_233502.fits.gz,2012-04-08 23:34:00.000,2012-04-08 23:40:00.000,2012-04-08 23:49:00.000,B4.1,618.492,425.0628,270.0
2012-04-10 11:05:15,eis_l0_20120410_110515.fits.gz,2012-04-10 11:19:00.000,2012-04-10 11:22:00.000,2012-04-10 11:24:00.000,B2.1,0.0,99.336,7972.821
2012-04-13 04:28:03,eis_l0_20120413_042803.fits.gz,2012-04-13 04:11:00.000,2012-04-13 04:21:00.000,2012-04-13 04:39:00.000,B4.7,0.0,95.9322,270.0
2012-04-14 00:53:18,eis_l0_20120414_005318.fits.gz,2012-04-14 00:35:00.000,2012-04-14 00:47:00.000,2012-04-14 01:02:00.000,B9.8,0.0,94.821,344.474
2012-04-14 22:13:58,eis_l0_20120414_221358.fits.gz,2012-04-14 22:10:00.000,2012-04-14 22:18:00.000,2012-04-14 23:06:00.000,B7.6,0.0,93.6246,184.948
2012-04-15 01:38:18,eis_l0_20120415_013818.fits.gz,2012-04-15 00:57:00.000,2012-04-15 01:40:00.000,2012-04-15 02:05:00.000,C2.7,0.0,93.4692,184.948
2012-04-16 00:27:59,eis_l0_20120416_002759.fits.gz,2012-04-16 00:24:00.000,2012-04-16 00:46:00.000,2012-04-16 01:08:00.000,C1.8,0.0,92.1426,270.0
2012-04-17 11:32:31,eis_l0_20120417_113231.fits.gz,2012-04-17 11:15:00.000,2012-04-17 11:29:00.000,2012-04-17 11:50:00.000,B7.6,0.0,90.1272,184.948
2012-04-17 22:30:10,eis_l0_20120417_223010.fits.gz,2012-04-17 22:07:00.000,2012-04-17 22:25:00.000,2012-04-17 22:38:00.000,B9.7,0.0,89.4882,184.948
2012-04-18 08:08:01,eis_l0_20120418_080801.fits.gz,2012-04-18 07:52:00.000,2012-04-18 08:01:00.000,2012-04-18 08:36:00.000,B7.7,0.0,88.9104,184.948
2012-04-18 09:50:00,eis_l0_20120418_095000.fits.gz,2012-04-18 09:38:00.000,2012-04-18 09:43:00.000,2012-04-18 09:51:00.000,B8.9,0.0,88.8054,184.948
2012-04-18 11:39:52,eis_l0_20120418_113952.fits.gz,2012-04-18 11:28:00.000,2012-04-18 11:44:00.000,2012-04-18 11:54:00.000,C1.5,400.9662,-363.5886,184.948
2012-04-18 14:56:44,eis_l0_20120418_145644.fits.gz,2012-04-18 14:51:00.000,2012-04-18 15:13:00.000,2012-04-18 15:18:00.000,C5.9,443.6742,-350.2434,184.948
2012-04-19 11:18:28,eis_l0_20120419_111828.fits.gz,2012-04-19 11:05:00.000,2012-04-19 11:26:00.000,2012-04-19 11:44:00.000,C7.0,0.0,87.2766,17428.782
2012-04-21 10:55:28,eis_l0_20120421_105528.fits.gz,2012-04-21 11:00:00.000,2012-04-21 11:14:00.000,2012-04-21 11:24:00.000,C1.0,0.0,84.327,17428.782
2012-04-22 19:00:13,eis_l0_20120422_190013.fits.gz,2012-04-22 20:52:00.000,2012-04-22 20:56:00.000,2012-04-22 21:00:00.000,C1.9,377.982,-158.0268,7795.793
2012-04-24 11:05:20,eis_l0_20120424_110520.fits.gz,2012-04-24 11:39:00.000,2012-04-24 11:51:00.000,2012-04-24 12:02:00.000,C1.1,0.0,79.6848,17428.782
2012-04-25 01:47:27,eis_l0_20120425_014727.fits.gz,2012-04-25 01:56:00.000,2012-04-25 02:24:00.000,2012-04-25 02:31:00.000,C1.3,0.0,78.7494,1800.0
2012-04-27 10:02:19,eis_l0_20120427_100219.fits.gz,2012-04-27 10:53:00.000,2012-04-27 11:02:00.000,2012-04-27 11:08:00.000,C2.4,653.778,-244.9578,17428.782
2012-04-27 20:24:55,eis_l0_20120427_202455.fits.gz,2012-04-27 21:01:00.000,2012-04-27 21:05:00.000,2012-04-27 21:09:00.000,C1.6,0.0,74.2572,7910.125
2012-04-27 23:01:40,eis_l0_20120427_230140.fits.gz,2012-04-27 23:00:00.000,2012-04-27 23:03:00.000,2012-04-27 23:06:00.000,C1.5,0.0,74.1216,7910.125
2012-04-28 01:20:13,eis_l0_20120428_012013.fits.gz,2012-04-28 01:48:00.000,2012-04-28 01:54:00.000,2012-04-28 02:00:00.000,C1.4,0.0,73.9308,7910.125
2012-04-28 10:20:20,eis_l0_20120428_102020.fits.gz,2012-04-28 12:12:00.000,2012-04-28 12:15:00.000,2012-04-28 12:18:00.000,B7.3,627.612,235.1268,12347.513
2012-04-29 10:12:33,eis_l0_20120429_101233.fits.gz,2012-04-29 13:58:00.000,2012-04-29 14:08:00.000,2012-04-29 14:15:00.000,C1.0,0.0,71.4396,17428.782
2012-04-29 16:56:07,eis_l0_20120429_165607.fits.gz,2012-04-29 16:54:00.000,2012-04-29 16:57:00.000,2012-04-29 17:00:00.000,B8.9,0.0,71.2356,344.474
2012-04-29 23:08:26,eis_l0_20120429_230826.fits.gz,2012-04-30 00:29:00.000,2012-04-30 00:33:00.000,2012-04-30 00:35:00.000,B7.6,0.0,70.707,11693.69
2012-04-30 12:10:10,eis_l0_20120430_121010.fits.gz,2012-04-30 14:30:00.000,2012-04-30 14:36:00.000,2012-04-30 14:41:00.000,C1.2,-719.232,-383.1042,17428.782
2012-05-02 10:47:56,eis_l0_20120502_104756.fits.gz,2012-05-02 11:32:00.000,2012-05-02 11:39:00.000,2012-05-02 11:46:00.000,C3.2,0.0,66.5304,12835.793
2012-05-03 10:35:42,eis_l0_20120503_103542.fits.gz,2012-05-03 10:42:00.000,2012-05-03 11:06:00.000,2012-05-03 11:23:00.000,C1.0,552.7746,-403.806,639.825
2012-05-03 13:27:42,eis_l0_20120503_132742.fits.gz,2012-05-03 13:24:00.000,2012-05-03 14:32:00.000,2012-05-03 15:11:00.000,C1.6,-908.616,133.4268,639.825
2012-05-03 13:53:43,eis_l0_20120503_135343.fits.gz,2012-05-03 13:24:00.000,2012-05-03 14:32:00.000,2012-05-03 15:11:00.000,C1.6,-908.616,133.4268,639.825
2012-05-03 17:05:41,eis_l0_20120503_170541.fits.gz,2012-05-03 16:39:00.000,2012-05-03 16:56:00.000,2012-05-03 17:23:00.000,C2.3,0.0,64.4322,639.825
2012-05-04 02:25:40,eis_l0_20120504_022540.fits.gz,2012-05-04 02:50:00.000,2012-05-04 02:55:00.000,2012-05-04 02:59:00.000,B7.6,0.0,63.6924,12835.793
2012-05-04 07:26:50,eis_l0_20120504_072650.fits.gz,2012-05-04 07:50:00.000,2012-05-04 07:54:00.000,2012-05-04 07:58:00.000,B7.4,0.0,63.3282,3870.0
2012-05-04 20:20:11,eis_l0_20120504_202011.fits.gz,2012-05-04 20:58:00.000,2012-05-04 21:02:00.000,2012-05-04 21:04:00.000,C1.6,-676.776,271.4346,12835.793
