Start Time,Peak Time,End Time,Class,hpc_x,hpc_y
2011-01-07 15:12:00.000,2011-01-07 15:20:00.000,2011-01-07 15:34:00.000,B5.1,789.0441504195505,599.5554904604134
2011-01-04 23:39:00.000,2011-01-04 23:45:00.000,2011-01-04 23:51:00.000,B4.2,-238.3483429234475,596.0243923697291
2011-01-12 21:19:00.000,2011-01-12 21:41:00.000,2011-01-12 22:05:00.000,B1.6,820.7368233857794,579.7166359110266
2011-01-26 15:14:00.000,2011-01-26 15:18:00.000,2011-01-26 15:21:00.000,B2.0,896.757137284603,274.6814321263015
2011-01-26 08:54:00.000,2011-01-26 08:57:00.000,2011-01-26 08:59:00.000,B1.1,873.375084249351,283.7389907958633
2011-01-27 11:05:00.000,2011-01-27 11:16:00.000,2011-01-27 11:22:00.000,B1.6,-823.0830009093042,551.8606117426011
2011-01-22 11:32:00.000,2011-01-22 11:38:00.000,2011-01-22 11:47:00.000,B3.7,184.83206848060075,368.7373504079941
2011-01-22 01:09:00.000,2011-01-22 01:14:00.000,2011-01-22 01:26:00.000,B1.7,119.44587505838416,379.6966855894838
2011-01-21 09:51:00.000,2011-01-21 09:57:00.000,2011-01-21 10:12:00.000,B4.5,-44.36279513943009,388.49176547845735
2011-01-21 14:24:00.000,2011-01-21 14:38:00.000,2011-01-21 14:49:00.000,C1.4,-0.5662734096404165,384.1857663062923
2011-01-14 01:28:00.000,2011-01-14 03:30:00.000,2011-01-14 04:38:00.000,C1.6,-914.586919165682,407.4514809815952
2011-01-14 22:37:00.000,2011-01-14 22:58:00.000,2011-01-14 23:18:00.000,B1.8,-902.6081961297896,397.22403682987095
2011-01-13 23:47:00.000,2011-01-14 00:06:00.000,2011-01-14 00:22:00.000,B2.3,817.6828770930525,557.5204625338474
2011-01-30 17:55:00.000,2011-01-30 18:36:00.000,2011-01-30 19:09:00.000,B2.3,-635.86528409319,-263.1320471051897
2011-02-01 00:09:00.000,2011-02-01 00:13:00.000,2011-02-01 00:17:00.000,B3.0,-377.1777645293623,-245.75042533975187
2011-02-01 23:06:00.000,2011-02-01 23:42:00.000,2011-02-01 23:58:00.000,B4.5,-182.10796252195723,-231.8175162531259
2011-02-01 12:27:00.000,2011-02-01 12:31:00.000,2011-02-01 12:33:00.000,B1.4,-336.5143996668048,-305.8596067346431
2011-02-04 03:59:00.000,2011-02-04 04:10:00.000,2011-02-04 04:15:00.000,B1.1,-123.22000735113396,-199.55279648838368
2011-02-02 10:20:00.000,2011-02-02 10:29:00.000,2011-02-02 10:36:00.000,B2.0,-98.13522761315107,-249.4221655353697
2011-02-04 12:13:00.000,2011-02-04 12:20:00.000,2011-02-04 12:26:00.000,B9.5,-50.00969812716357,-200.9289381888377
2011-02-07 13:31:00.000,2011-02-07 13:35:00.000,2011-02-07 13:37:00.000,B1.9,735.2259244065407,333.6393144065391
2011-02-11 23:05:00.000,2011-02-11 23:12:00.000,2011-02-11 23:19:00.000,B9.6,-964.0485684762244,179.29056336814688
2011-02-12 14:30:00.000,2011-02-12 15:06:00.000,2011-02-12 15:21:00.000,C2.6,-332.7643758256454,418.4211264796902
2011-02-24 02:49:00.000,2011-02-24 02:53:00.000,2011-02-24 02:57:00.000,B3.9,894.2675159345567,349.8314406379456
2011-02-26 00:07:00.000,2011-02-26 00:10:00.000,2011-02-26 00:12:00.000,B4.3,-824.7204764280468,482.3842957339161
2011-02-25 22:29:00.000,2011-02-25 22:33:00.000,2011-02-25 22:46:00.000,B5.2,-855.4515170229133,430.24777560881233
2011-02-25 17:18:00.000,2011-02-25 17:29:00.000,2011-02-25 17:37:00.000,C1.1,-865.0512373375241,431.468843140832
2011-02-25 10:53:00.000,2011-02-25 10:58:00.000,2011-02-25 11:07:00.000,B6.2,-851.7642751636449,466.24541397514497
2011-02-25 18:57:00.000,2011-02-25 19:01:00.000,2011-02-25 19:04:00.000,B4.5,-853.5768107234035,460.8501863363561
2011-03-01 18:06:00.000,2011-03-01 18:19:00.000,2011-03-01 18:26:00.000,C1.0,-469.83598852693103,553.1191536831608
2011-03-01 14:35:00.000,2011-03-01 14:38:00.000,2011-03-01 14:40:00.000,C1.1,-432.6870607561432,528.4271167041774
2011-03-01 19:34:00.000,2011-03-01 19:57:00.000,2011-03-01 20:17:00.000,C1.6,-339.05037681222893,537.2031975648908
2011-03-01 16:25:00.000,2011-03-01 16:47:00.000,2011-03-01 16:59:00.000,C1.0,-415.8763919477351,531.9867062408343
2011-03-03 14:12:00.000,2011-03-03 14:20:00.000,2011-03-03 14:31:00.000,C5.4,-3.740336325019598,473.9875749272058
2011-03-06 10:31:00.000,2011-03-06 10:40:00.000,2011-03-06 10:55:00.000,C7.5,814.3612229433787,-253.68113455456623
2011-03-05 10:13:00.000,2011-03-05 10:17:00.000,2011-03-05 10:21:00.000,C1.4,691.9007722873203,-227.4109661396821
2011-03-05 20:51:00.000,2011-03-05 21:44:00.000,2011-03-05 21:53:00.000,C2.9,440.46359373849856,525.1289097092894
2011-03-11 11:10:00.000,2011-03-11 11:15:00.000,2011-03-11 11:22:00.000,C2.0,510.0827237448138,235.53573329505164
2011-03-10 03:50:00.000,2011-03-10 03:58:00.000,2011-03-10 04:17:00.000,C2.9,208.87889453664508,256.66347113788004
2011-03-24 00:52:00.000,2011-03-24 00:56:00.000,2011-03-24 00:58:00.000,B5.7,-786.7254240626935,-255.8266755199625
2011-03-19 16:21:00.000,2011-03-19 16:34:00.000,2011-03-19 16:52:00.000,B2.7,320.21186130693707,296.9031652435007
2011-03-28 11:30:00.000,2011-03-28 11:39:00.000,2011-03-28 11:46:00.000,C1.4,-68.2634791303426,-212.7372261854753
2011-03-27 00:06:00.000,2011-03-27 00:14:00.000,2011-03-27 00:20:00.000,C3.1,-188.0114656784572,-86.2348462988458
2011-03-26 14:42:00.000,2011-03-26 14:45:00.000,2011-03-26 14:47:00.000,B6.6,-369.4727507606149,-181.216167180567
2011-03-25 00:38:00.000,2011-03-25 00:42:00.000,2011-03-25 00:45:00.000,C1.0,-565.5857744463719,-130.33586602265026
2011-03-24 11:08:00.000,2011-03-24 11:20:00.000,2011-03-24 11:25:00.000,B5.8,953.5217798882176,217.67858730737828
2011-03-25 23:08:00.000,2011-03-25 23:22:00.000,2011-03-25 23:30:00.000,M1.0,-408.2981112429407,-105.50886428190144
2011-03-30 11:38:00.000,2011-03-30 11:49:00.000,2011-03-30 12:06:00.000,B9.0,399.3252296357975,-170.05114850712002
2011-03-31 15:26:00.000,2011-03-31 15:35:00.000,2011-03-31 15:46:00.000,C2.6,553.4432567612297,-215.43061583755625
2011-04-11 23:40:00.000,2011-04-11 00:00:00.000,2011-04-12 00:03:00.000,C2.5,135.97953911408737,382.65767848817103
2011-04-11 12:49:00.000,2011-04-11 13:10:00.000,2011-04-11 13:26:00.000,B7.2,-502.1423765264917,297.17290806955776
2011-04-13 13:12:00.000,2011-04-13 13:43:00.000,2011-04-13 13:49:00.000,C2.5,-907.2106399189216,297.5454150944095
2011-04-15 02:43:00.000,2011-04-15 02:47:00.000,2011-04-15 02:52:00.000,B8.8,222.237960034194,317.0385804396353
2011-04-20 23:02:00.000,2011-04-20 23:16:00.000,2011-04-20 23:21:00.000,B8.9,954.939518064459,215.8388235320417
2011-04-22 04:35:00.000,2011-04-22 04:57:00.000,2011-04-22 05:14:00.000,M1.8,-609.9892090857029,-220.8809885582068
2011-04-22 11:07:00.000,2011-04-22 11:25:00.000,2011-04-22 11:37:00.000,C7.7,-553.5541277714074,-210.21345206954257
2011-04-22 08:04:00.000,2011-04-22 08:09:00.000,2011-04-22 08:12:00.000,C2.5,-567.9327254798263,-200.5793482325529
2011-04-25 02:33:00.000,2011-04-25 03:22:00.000,2011-04-25 03:56:00.000,B8.7,930.0213936480216,329.7914341363929
2011-04-23 10:28:00.000,2011-04-23 10:32:00.000,2011-04-23 10:36:00.000,B5.5,-363.2901490731165,-198.07014807597463
2011-04-27 02:26:00.000,2011-04-27 02:33:00.000,2011-04-27 03:01:00.000,C2.0,-767.6792391093913,330.8708091278263
2011-04-29 00:17:00.000,2011-04-29 00:26:00.000,2011-04-29 00:33:00.000,C3.8,-910.596336095361,292.2059111099758
2011-04-30 12:19:00.000,2011-04-30 12:28:00.000,2011-04-30 12:42:00.000,C1.0,834.0771768787174,360.0298519489144
2011-05-04 10:56:00.000,2011-05-04 11:04:00.000,2011-05-04 11:11:00.000,B4.5,-298.5964827213902,407.51311497941225
2011-05-03 18:44:00.000,2011-05-03 18:48:00.000,2011-05-03 18:57:00.000,B4.1,-468.0099134736229,331.1065300181351
2011-05-03 10:47:00.000,2011-05-03 10:52:00.000,2011-05-03 10:56:00.000,C1.3,-654.1405395749025,290.7442632239181
2011-05-09 13:19:00.000,2011-05-09 13:25:00.000,2011-05-09 13:47:00.000,B7.1,-217.09556323871948,377.216617769106
2011-05-11 02:23:00.000,2011-05-11 02:43:00.000,2011-05-11 03:23:00.000,B8.1,717.2287121583113,358.76783799334663
2011-05-14 00:57:00.000,2011-05-14 00:58:00.000,2011-05-14 01:00:00.000,B2.1,835.0341905534416,-313.63473592928204
2011-05-16 22:11:00.000,2011-05-16 22:19:00.000,2011-05-16 22:27:00.000,B3.5,231.4038158798033,-346.7412016053401
2011-05-17 01:04:00.000,2011-05-17 01:09:00.000,2011-05-17 01:12:00.000,B3.5,245.7985044448555,-350.3758525942702
2011-05-17 11:27:00.000,2011-05-17 11:44:00.000,2011-05-17 12:02:00.000,B2.7,-864.4714141667355,370.0196850810354
2011-05-18 18:02:00.000,2011-05-18 18:30:00.000,2011-05-18 19:50:00.000,C2.0,955.2868844084676,218.02225731079653
2011-05-22 09:41:00.000,2011-05-22 10:28:00.000,2011-05-22 11:08:00.000,B1.3,-135.82761782035232,398.1627652721669
2011-05-21 16:06:00.000,2011-05-21 16:21:00.000,2011-05-21 16:30:00.000,B1.1,-845.2228124006651,-360.354870061674
2011-05-24 22:11:00.000,2011-05-24 22:37:00.000,2011-05-24 23:30:00.000,B2.0,896.8929107872648,371.074905516974
2011-05-26 00:21:00.000,2011-05-26 00:25:00.000,2011-05-26 00:28:00.000,B1.3,-472.8198132140096,-239.5436814543073
2011-05-28 03:04:00.000,2011-05-28 03:31:00.000,2011-05-28 03:43:00.000,C8.3,-876.3368214990478,-342.3908290784303
2011-05-27 11:58:00.000,2011-05-27 12:15:00.000,2011-05-27 12:38:00.000,B7.7,-895.556559634395,-349.5473975816333
2011-05-27 20:58:00.000,2011-05-27 21:05:00.000,2011-05-27 21:12:00.000,B9.3,-884.1311082488392,-339.3708983767472
2011-05-27 19:33:00.000,2011-05-27 19:43:00.000,2011-05-27 19:58:00.000,C1.4,-889.5647791533265,-353.16109657930224
2011-05-28 18:42:00.000,2011-05-28 18:46:00.000,2011-05-28 18:50:00.000,C2.2,-846.3219189639203,-338.2623447907187
2011-05-28 10:22:00.000,2011-05-28 10:30:00.000,2011-05-28 11:21:00.000,C5.3,-856.5132665236015,-334.03760047153327
2011-05-28 23:41:00.000,2011-05-28 23:46:00.000,2011-05-28 23:53:00.000,C1.4,-837.3140186965466,-335.8853092540677
2011-06-02 02:39:00.000,2011-06-02 02:44:00.000,2011-06-02 02:49:00.000,C1.2,-224.3264105510898,-351.97777274876006
2011-06-03 15:58:00.000,2011-06-03 16:17:00.000,2011-06-03 16:30:00.000,C2.5,78.68255570404416,-371.3091358092737
2011-06-06 01:28:00.000,2011-06-06 01:35:00.000,2011-06-06 01:41:00.000,C1.2,586.411372818941,-313.7760559469134
2011-06-04 15:45:00.000,2011-06-04 15:53:00.000,2011-06-04 16:06:00.000,B6.2,279.1365124366037,-364.5884102249074
2011-06-08 13:48:00.000,2011-06-08 13:53:00.000,2011-06-08 13:58:00.000,B3.0,823.8848100805028,-383.3581368244217
2011-06-11 07:15:00.000,2011-06-11 07:20:00.000,2011-06-11 07:23:00.000,B2.8,-631.7488310982008,-288.64874999180347
2011-06-13 14:42:00.000,2011-06-13 14:45:00.000,2011-06-13 14:49:00.000,B5.4,-901.0177269384732,285.10200547217414
2011-06-13 20:16:00.000,2011-06-13 20:19:00.000,2011-06-13 20:23:00.000,B5.9,-894.4239496164955,282.0854649593015
2011-06-14 00:32:00.000,2011-06-14 00:41:00.000,2011-06-14 00:49:00.000,C1.8,-920.780585609842,249.53272487350395
2011-06-15 11:41:00.000,2011-06-15 11:50:00.000,2011-06-15 12:12:00.000,C2.6,-870.4321412567515,224.80575836825545
2011-06-16 23:10:00.000,2011-06-16 23:16:00.000,2011-06-16 23:19:00.000,B6.3,-684.43537382246,209.96000717538536
2011-06-19 02:23:00.000,2011-06-19 02:41:00.000,2011-06-19 02:59:00.000,B9.4,-292.4621553514153,243.24828780595607
2011-06-20 01:24:00.000,2011-06-20 01:27:00.000,2011-06-20 01:31:00.000,B3.5,884.9551652425162,-254.06938290494816
2011-06-26 20:01:00.000,2011-06-26 20:09:00.000,2011-06-26 20:13:00.000,B3.6,912.7764849470856,255.8116809368626
2011-06-27 12:13:00.000,2011-06-27 12:16:00.000,2011-06-27 12:20:00.000,B3.2,548.6143452578818,297.49421384594893
2011-06-27 15:28:00.000,2011-06-27 15:42:00.000,2011-06-27 16:16:00.000,B6.6,918.3024226778712,308.00817118784147
2011-06-28 00:27:00.000,2011-06-28 01:07:00.000,2011-06-28 01:58:00.000,B6.4,929.8985773986994,388.9943352189817
2011-06-28 13:05:00.000,2011-06-28 13:21:00.000,2011-06-28 13:50:00.000,B9.6,889.6573043122994,374.689491504532
2011-06-29 00:20:00.000,2011-06-29 00:32:00.000,2011-06-29 00:57:00.000,B7.3,881.3759062726584,-325.61378203414034
2011-06-30 22:10:00.000,2011-06-30 22:15:00.000,2011-06-30 22:20:00.000,B3.5,-555.1472178611439,230.53343015932867
