Start Time,Peak Time,End Time,GOES Class,hpc_x,hpc_y
2024-01-01 01:34:00.000,2024-01-01 01:38:00.000,2024-01-01 01:42:00.000,C4.1,0.0,50.3175456
2024-01-01 07:51:00.000,2024-01-01 08:06:00.000,2024-01-01 08:20:00.000,C4.7,0.0,50.8430652
2024-01-01 08:33:00.000,2024-01-01 08:54:00.000,2024-01-01 09:04:00.000,M2.3,0.0,50.901543
2024-01-01 10:15:00.000,2024-01-01 10:20:00.000,2024-01-01 10:25:00.000,C1.9,0.0,51.0435024
2024-01-01 11:54:00.000,2024-01-01 12:25:00.000,2024-01-01 12:35:00.000,M4.7,0.0,51.181209
2024-01-01 16:17:00.000,2024-01-01 16:28:00.000,2024-01-01 16:46:00.000,C2.6,0.0,51.5466624
2024-01-01 16:47:00.000,2024-01-01 17:04:00.000,2024-01-01 17:16:00.000,C5.7,0.0,51.5883144
2024-01-01 18:30:00.000,2024-01-01 18:41:00.000,2024-01-01 18:53:00.000,C1.3,0.0,51.7312656
2024-01-02 00:41:00.000,2024-01-02 00:49:00.000,2024-01-02 01:14:00.000,C1.5,0.0,52.2454674
2024-01-02 04:31:00.000,2024-01-02 04:37:00.000,2024-01-02 04:45:00.000,C1.5,0.0,52.5636924
2024-01-02 05:51:00.000,2024-01-02 06:06:00.000,2024-01-02 06:36:00.000,C1.4,-844.50738,94.301286
2024-01-02 06:38:00.000,2024-01-02 06:51:00.000,2024-01-02 07:01:00.000,C2.0,0.0,52.7392248
2024-01-02 07:10:00.000,2024-01-02 07:15:00.000,2024-01-02 07:19:00.000,C2.0,0.0,52.7834334
2024-01-02 07:35:00.000,2024-01-02 07:43:00.000,2024-01-02 07:54:00.000,C1.0,0.0,52.8179652
2024-01-02 09:21:00.000,2024-01-02 09:32:00.000,2024-01-02 09:38:00.000,C2.8,-808.66524,97.591818
2024-01-02 09:48:00.000,2024-01-02 09:52:00.000,2024-01-02 09:56:00.000,C2.5,0.0,53.0015892
2024-01-02 10:22:00.000,2024-01-02 10:30:00.000,2024-01-02 10:36:00.000,C1.2,0.0,53.0485074
2024-01-02 13:42:00.000,2024-01-02 13:45:00.000,2024-01-02 13:49:00.000,C1.2,0.0,53.3243076
2024-01-03 02:54:00.000,2024-01-03 02:59:00.000,2024-01-03 03:05:00.000,C1.2,0.0,54.4132434
2024-01-03 10:00:00.000,2024-01-03 10:10:00.000,2024-01-03 10:14:00.000,C1.8,0.0,54.9967968
2024-01-03 10:14:00.000,2024-01-03 10:18:00.000,2024-01-03 10:24:00.000,C3.0,0.0,55.0159482
2024-01-03 13:29:00.000,2024-01-03 13:34:00.000,2024-01-03 13:44:00.000,C1.3,0.0,55.2825336
2024-01-03 14:42:00.000,2024-01-03 14:57:00.000,2024-01-03 15:15:00.000,C1.8,0.0,55.3822494
2024-01-03 16:13:00.000,2024-01-03 16:21:00.000,2024-01-03 16:28:00.000,C1.3,0.0,55.5064884
2024-01-03 16:49:00.000,2024-01-03 16:56:00.000,2024-01-03 17:08:00.000,C1.5,0.0,55.5556188
2024-01-04 00:13:00.000,2024-01-04 00:25:00.000,2024-01-04 00:51:00.000,C2.1,0.0,56.1606432
2024-01-04 01:08:00.000,2024-01-04 01:16:00.000,2024-01-04 01:22:00.000,M1.1,0.0,56.2354716
2024-01-04 01:22:00.000,2024-01-04 01:55:00.000,2024-01-04 02:12:00.000,M3.8,0.0,56.2545144
2024-01-04 07:19:00.000,2024-01-04 07:28:00.000,2024-01-04 07:48:00.000,C1.5,0.0,56.7395376
2024-01-04 08:55:00.000,2024-01-04 09:06:00.000,2024-01-04 09:16:00.000,C1.7,0.0,56.8697748
